@relation reservas

@attribute categoria {Arte,Ciencia,Fantasía,Historia,Novelas}

@data
Ciencia
Novelas
Novelas
Ciencia
Historia
Historia
Historia
Ciencia
Novelas
Historia
Ciencia
Historia
Ciencia
Ciencia
Ciencia
Ciencia
Ciencia
Ciencia
Ciencia
Ciencia
Ciencia
Ciencia
Ciencia
Arte
Novelas
Arte
Novelas
Ciencia
Historia
Ciencia
Ciencia
Arte
Historia
Novelas
Ciencia
Ciencia
Historia
Ciencia
Historia
Ciencia
Historia
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Ciencia
Ciencia
Novelas
Ciencia
Novelas
Novelas
Novelas
Novelas
Ciencia
Ciencia
Ciencia
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Fantasía
Fantasía
Fantasía
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
Novelas
